SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
O=[S@@](C1=CC(Br)=C(C(=C1)CNC)Cl)NOCC;2/000000024;InChI=1S/C10H14BrClN2O2S/c1-3-16-14-17(15)8-4-7(6-13-2)10(12)9(11)5-8/h4-5,13-14H,3,6H2,1-2H3/t17-/m0/s1;C10H14N2O2SClBr;341;1.96;3.14;-4.60;16.20;-80
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000035;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.47;-0.49;3.85;0
O=[S@@](C1=CC(Br)=C(C(=C1)CNC)Cl)NOCC;2/000000025;InChI=1S/C10H14BrClN2O2S/c1-3-16-14-17(15)8-4-7(6-13-2)10(12)9(11)5-8/h4-5,13-14H,3,6H2,1-2H3/t17-/m0/s1;C10H14N2O2SClBr;341;1.96;3.16;-5.38;16.20;-80
OC1C=C(C(=O)C2=NN=C(S2)N)C(=CC=1O)Cl;2/000000021;InChI=1S/C9H6ClN3O3S/c10-4-2-6(15)5(14)1-3(4)7(16)8-12-13-9(11)17-8/h1-2,14-15H,(H2,11,13);C9H6N3O3SCl;271;1.82;3.06;-2.89;2.22;0
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000004;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.45;-0.49;3.85;0
ONC(=O)C1=CC(S)=C(C=C1O)/C=C\[C@@H](S)Cl;2/000000006;InChI=1S/C10H10ClNO3S2/c11-9(17)2-1-5-3-7(13)6(4-8(5)16)10(14)12-15/h1-4,9,13,15-17H,(H,12,14)/b2-1-/t9-/m1/s1;C10H10NO3S2Cl;291;2.21;3.09;-5.70;18.50;-170
OC1=CC=C(C=C1)C1=CC=C(C(=C1)O)F;2/000000027;InChI=1S/C12H9FO2/c13-11-6-3-9(7-12(11)15)8-1-4-10(14)5-2-8/h1-7,14-15H;C12H9O2F;204;3.31;3.18;-0.93;1.00;-160
O[C@@H](CC1=C(C=C(C=C1)Br)/C=C/CN)CO;2/000000009;InChI=1S/C12H16BrNO2/c13-11-4-3-10(7-12(16)8-15)9(6-11)2-1-5-14/h1-4,6,12,15-16H,5,7-8,14H2/b2-1+/t12-/m0/s1;C12H16NO2Br;286;1.22;3.08;-5.63;3.58;-150
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000003;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.47;-0.49;3.85;0
OCC(=O)OC1C=CC(=C(C=1CNC=C)C1=NCC=C1)Br;2/000000040;InChI=1S/C15H15BrN2O3/c1-2-17-8-10-13(21-14(20)9-19)6-5-11(16)15(10)12-4-3-7-18-12/h2-6,17,19H,1,7-9H2;C15H15N2O3Br;351;1.58;3.96;-6.66;20.90;-140
